"FFQ0006.Code.or.Value","FFQ0006.Value.Description","FFQ0006.Count","FFQ0006.Cumulative","FFQ0006.Skip.to.Item"
1,"never",1092,1092,"FFQ0007"
2,"1 time per month or less",1038,2130,""
3,"2-3 times per month",1126,3256,""
4,"1-2 times per week",744,4000,""
5,"3-4 times per week",621,4621,""
6,"5-6 times per week",341,4962,""
7,"1 time per day",314,5276,""
8,"2-3 times per day",415,5691,""
9,"4-5 times per day",139,5830,""
10,"6 or more times per day",55,5885,""
88,"Blank",104,5989,""
99,"Error",24,6013,""
