"FFQ0042A.Code.or.Value","FFQ0042A.Value.Description","FFQ0042A.Count","FFQ0042A.Cumulative","FFQ0042A.Skip.to.Item"
1,"never",166,166,NA
2,"1-6 times per season",463,629,NA
3,"7-11 times per season",426,1055,NA
4,"1 time per month",195,1250,NA
5,"2-3 times per month",583,1833,NA
6,"1 time per week",453,2286,NA
7,"2 times per week",652,2938,NA
8,"3-4 times per week",802,3740,NA
9,"5-6 times per week",381,4121,NA
10,"1 time per day",314,4435,NA
11,"2 or more times per day",136,4571,NA
88,"Blank",1421,5992,NA
99,"Error",21,6013,NA
