"FFQ0056.Code.or.Value","FFQ0056.Value.Description","FFQ0056.Count","FFQ0056.Cumulative","FFQ0056.Skip.to.Item"
1,"never",1074,1074,NA
2,"1-6 times per year",1047,2121,NA
3,"7-11 times per year",701,2822,NA
4,"1 time per month",631,3453,NA
5,"2-3 times per month",963,4416,NA
6,"1 time per week",446,4862,NA
7,"2 times per week",407,5269,NA
8,"3-4 times per week",326,5595,NA
9,"5-6 times per week",122,5717,NA
10,"1 time per day",133,5850,NA
11,"2 or more times per day",46,5896,NA
88,"Blank",96,5992,NA
99,"Error",21,6013,NA
