"FFQ0063.Code.or.Value","FFQ0063.Value.Description","FFQ0063.Count","FFQ0063.Cumulative","FFQ0063.Skip.to.Item"
1,"never",389,389,"FFQ0064"
2,"1-6 times per year",715,1104,""
3,"7-11 times per year",729,1833,""
4,"1 time per month",871,2704,""
5,"2-3 times per month",1602,4306,""
6,"1 time per week",837,5143,""
7,"2 times per week",483,5626,""
8,"3-4 times per week",206,5832,""
9,"5-6 times per week",54,5886,""
10,"1 time per day",33,5919,""
11,"2 or more times per day",8,5927,""
88,"Blank",65,5992,""
99,"Error",21,6013,""
