"FFQ0097A.Code.or.Value","FFQ0097A.Value.Description","FFQ0097A.Count","FFQ0097A.Cumulative","FFQ0097A.Skip.to.Item"
1,"never",81,81,NA
2,"1-6 times per winter",837,918,NA
3,"7-11 times per winter",727,1645,NA
4,"1 time per month",379,2024,NA
5,"2-3 times per month",1164,3188,NA
6,"1 time per week",651,3839,NA
7,"2 times per week",786,4625,NA
8,"3-4 times per week",523,5148,NA
9,"5-6 times per week",126,5274,NA
10,"1 time per day",88,5362,NA
11,"2 or more times per day",26,5388,NA
88,"Blank",610,5998,NA
99,"Error",15,6013,NA
