"FFQ0110.Code.or.Value","FFQ0110.Value.Description","FFQ0110.Count","FFQ0110.Cumulative","FFQ0110.Skip.to.Item"
1,"never",368,368,"FFQ0111"
2,"1-6 times per year",333,701,""
3,"7-11 times per year",339,1040,""
4,"1 time per month",325,1365,""
5,"2-3 times per month",849,2214,""
6,"1 time per week",617,2831,""
7,"2 times per week",939,3770,""
8,"3-4 times per week",1112,4882,""
9,"5-6 times per week",546,5428,""
10,"1 time per day",355,5783,""
11,"2 or more times per day",140,5923,""
88,"Blank",76,5999,""
99,"Error",14,6013,""
