"FFQ0010A.Code.or.Value","FFQ0010A.Value.Description","FFQ0010A.Count","FFQ0010A.Cumulative","FFQ0010A.Skip.to.Item"
1,"never",946,946,NA
2,"1 time per month or less",568,1514,NA
3,"2-3 times per month",460,1974,NA
4,"1-2 times per week",329,2303,NA
5,"3-4 times per week",177,2480,NA
6,"5-6 times per week",72,2552,NA
7,"1 time per day",66,2618,NA
8,"2-3 times per day",79,2697,NA
9,"4-5 times per day",19,2716,NA
10,"6 or more times per day",23,2739,NA
88,"Blank",3715,6454,NA
99,"Error",18,6472,NA
