"FFQ0010B.Code.or.Value","FFQ0010B.Value.Description","FFQ0010B.Count","FFQ0010B.Cumulative","FFQ0010B.Skip.to.Item"
1,"never",1021,1021,NA
2,"1 time per month or less",717,1738,NA
3,"2-3 times per month",430,2168,NA
4,"1-2 times per week",273,2441,NA
5,"3-4 times per week",123,2564,NA
6,"5-6 times per week",55,2619,NA
7,"1 time per day",58,2677,NA
8,"2-3 times per day",48,2725,NA
9,"4-5 times per day",17,2742,NA
10,"6 or more times per day",23,2765,NA
88,"Blank",3692,6457,NA
99,"Error",15,6472,NA
