"FFQ0013A.Code.or.Value","FFQ0013A.Value.Description","FFQ0013A.Count","FFQ0013A.Cumulative","FFQ0013A.Skip.to.Item"
1,"never",201,201,NA
2,"1-6 times per winter",898,1099,NA
3,"7-11 times per winter",385,1484,NA
4,"1 time per month",208,1692,NA
5,"2-3 times per month",652,2344,NA
6,"1 time per week",363,2707,NA
7,"2 times per week",631,3338,NA
8,"3-4 times per week",715,4053,NA
9,"5-6 times per week",223,4276,NA
10,"1 time per day",270,4546,NA
11,"2 or more times per day",43,4589,NA
88,"Blank",1851,6440,NA
99,"Error",32,6472,NA
