"FFQ0013B.Code.or.Value","FFQ0013B.Value.Description","FFQ0013B.Count","FFQ0013B.Cumulative","FFQ0013B.Skip.to.Item"
1,"never",479,479,NA
2,"1-6 times per year",946,1425,NA
3,"7-11 times per year",376,1801,NA
4,"1 time per month",387,2188,NA
5,"2-3 times per month",667,2855,NA
6,"1 time per week",388,3243,NA
7,"2 times per week",492,3735,NA
8,"3-4 times per week",477,4212,NA
9,"5-6 times per week",159,4371,NA
10,"1 time per day",206,4577,NA
11,"2 or more times per day",34,4611,NA
88,"Blank",1830,6441,NA
99,"Error",31,6472,NA
