"FFQ0014.Code.or.Value","FFQ0014.Value.Description","FFQ0014.Count","FFQ0014.Cumulative","FFQ0014.Skip.to.Item"
1,"never",706,706,"FFQ0015"
2,"1-6 times per year",492,1198,""
3,"7-11 times per year",316,1514,""
4,"1 time per month",274,1788,""
5,"2-3 times per month",590,2378,""
6,"1 time per week",402,2780,""
7,"2 times per week",893,3673,""
8,"3-4 times per week",1225,4898,""
9,"5-6 times per week",635,5533,""
10,"1 time per day",602,6135,""
11,"2 or more times per day",197,6332,""
88,"Blank",100,6432,""
99,"Error",40,6472,""
