"FFQ0017.Code.or.Value","FFQ0017.Value.Description","FFQ0017.Count","FFQ0017.Cumulative","FFQ0017.Skip.to.Item"
1,"never",1855,1855,NA
2,"1-6 times per year",1536,3391,NA
3,"7-11 times per year",563,3954,NA
4,"1 time per month",528,4482,NA
5,"2-3 times per month",729,5211,NA
6,"1 time per week",362,5573,NA
7,"2 times per week",393,5966,NA
8,"3-4 times per week",235,6201,NA
9,"5-6 times per week",55,6256,NA
10,"1 time per day",73,6329,NA
11,"2 or more times per day",39,6368,NA
88,"Blank",70,6438,NA
99,"Error",34,6472,NA
