"FFQ0020.Code.or.Value","FFQ0020.Value.Description","FFQ0020.Count","FFQ0020.Cumulative","FFQ0020.Skip.to.Item"
1,"never",2756,2756,NA
2,"1-6 times per year",1427,4183,NA
3,"7-11 times per year",446,4629,NA
4,"1 time per month",466,5095,NA
5,"2-3 times per month",494,5589,NA
6,"1 time per week",241,5830,NA
7,"2 times per week",224,6054,NA
8,"3-4 times per week",158,6212,NA
9,"5-6 times per week",53,6265,NA
10,"1 time per day",86,6351,NA
11,"2 or more times per day",22,6373,NA
88,"Blank",75,6448,NA
99,"Error",24,6472,NA
