"FFQ0023B.Code.or.Value","FFQ0023B.Value.Description","FFQ0023B.Count","FFQ0023B.Cumulative","FFQ0023B.Skip.to.Item"
1,"never",1434,1434,NA
2,"1-6 times per year",1591,3025,NA
3,"7-11 times per year",575,3600,NA
4,"1 time per month",532,4132,NA
5,"2-3 times per month",565,4697,NA
6,"1 time per week",223,4920,NA
7,"2 times per week",207,5127,NA
8,"3-4 times per week",127,5254,NA
9,"5-6 times per week",46,5300,NA
10,"1 time per day",31,5331,NA
11,"2 or more times per day",30,5361,NA
88,"Blank",1081,6442,NA
99,"Error",30,6472,NA
