"FFQ0024A.Code.or.Value","FFQ0024A.Value.Description","FFQ0024A.Count","FFQ0024A.Cumulative","FFQ0024A.Skip.to.Item"
1,"never",161,161,NA
2,"1-6 times per season",1482,1643,NA
3,"7-11 times per season",756,2399,NA
4,"1 time per month",366,2765,NA
5,"2-3 times per month",709,3474,NA
6,"1 time per week",445,3919,NA
7,"2 times per week",577,4496,NA
8,"3-4 times per week",432,4928,NA
9,"5-6 times per week",148,5076,NA
10,"1 time per day",105,5181,NA
11,"2 or more times per day",123,5304,NA
88,"Blank",1134,6438,NA
99,"Error",34,6472,NA
