"FFQ0025A.Code.or.Value","FFQ0025A.Value.Description","FFQ0025A.Count","FFQ0025A.Cumulative","FFQ0025A.Skip.to.Item"
1,"never",107,107,NA
2,"1-6 times per season",1266,1373,NA
3,"7-11 times per season",692,2065,NA
4,"1 time per month",335,2400,NA
5,"2-3 times per month",762,3162,NA
6,"1 time per week",410,3572,NA
7,"2 times per week",627,4199,NA
8,"3-4 times per week",591,4790,NA
9,"5-6 times per week",237,5027,NA
10,"1 time per day",209,5236,NA
11,"2 or more times per day",154,5390,NA
88,"Blank",1051,6441,NA
99,"Error",31,6472,NA
