"FFQ0027.Code.or.Value","FFQ0027.Value.Description","FFQ0027.Count","FFQ0027.Cumulative","FFQ0027.Skip.to.Item"
1,"never",1158,1158,NA
2,"1-6 times per year",1321,2479,NA
3,"7-11 times per year",657,3136,NA
4,"1 time per month",429,3565,NA
5,"2-3 times per month",772,4337,NA
6,"1 time per week",407,4744,NA
7,"2 times per week",506,5250,NA
8,"3-4 times per week",520,5770,NA
9,"5-6 times per week",192,5962,NA
10,"1 time per day",232,6194,NA
11,"2 or more times per day",137,6331,NA
88,"Blank",111,6442,NA
99,"Error",30,6472,NA
