"FFQ0029.Code.or.Value","FFQ0029.Value.Description","FFQ0029.Count","FFQ0029.Cumulative","FFQ0029.Skip.to.Item"
1,"never",4092,4092,NA
2,"1-6 times per year",650,4742,NA
3,"7-11 times per year",266,5008,NA
4,"1 time per month",297,5305,NA
5,"2-3 times per month",324,5629,NA
6,"1 time per week",246,5875,NA
7,"2 times per week",217,6092,NA
8,"3-4 times per week",144,6236,NA
9,"5-6 times per week",49,6285,NA
10,"1 time per day",50,6335,NA
11,"2 or more times per day",12,6347,NA
88,"Blank",93,6440,NA
99,"Error",32,6472,NA
