"FFQ0031.Code.or.Value","FFQ0031.Value.Description","FFQ0031.Count","FFQ0031.Cumulative","FFQ0031.Skip.to.Item"
1,"never",2441,2441,NA
2,"1-6 times per year",1558,3999,NA
3,"7-11 times per year",630,4629,NA
4,"1 time per month",639,5268,NA
5,"2-3 times per month",608,5876,NA
6,"1 time per week",224,6100,NA
7,"2 times per week",153,6253,NA
8,"3-4 times per week",52,6305,NA
9,"5-6 times per week",31,6336,NA
10,"1 time per day",22,6358,NA
11,"2 or more times per day",5,6363,NA
88,"Blank",82,6445,NA
99,"Error",27,6472,NA
