"FFQ0034.Code.or.Value","FFQ0034.Value.Description","FFQ0034.Count","FFQ0034.Cumulative","FFQ0034.Skip.to.Item"
1,"never",1668,1668,NA
2,"1-6 times per year",925,2593,NA
3,"7-11 times per year",554,3147,NA
4,"1 time per month",591,3738,NA
5,"2-3 times per month",1085,4823,NA
6,"1 time per week",696,5519,NA
7,"2 times per week",501,6020,NA
8,"3-4 times per week",229,6249,NA
9,"5-6 times per week",53,6302,NA
10,"1 time per day",29,6331,NA
11,"2 or more times per day",10,6341,NA
88,"Blank",103,6444,NA
99,"Error",28,6472,NA
