"FFQ0038.Code.or.Value","FFQ0038.Value.Description","FFQ0038.Count","FFQ0038.Cumulative","FFQ0038.Skip.to.Item"
1,"never",1369,1369,NA
2,"1-6 times per year",1222,2591,NA
3,"7-11 times per year",630,3221,NA
4,"1 time per month",643,3864,NA
5,"2-3 times per month",971,4835,NA
6,"1 time per week",563,5398,NA
7,"2 times per week",518,5916,NA
8,"3-4 times per week",260,6176,NA
9,"5-6 times per week",95,6271,NA
10,"1 time per day",50,6321,NA
11,"2 or more times per day",19,6340,NA
88,"Blank",101,6441,NA
99,"Error",31,6472,NA
