"FFQ0040.Code.or.Value","FFQ0040.Value.Description","FFQ0040.Count","FFQ0040.Cumulative","FFQ0040.Skip.to.Item"
1,"never",2360,2360,NA
2,"1-6 times per year",708,3068,NA
3,"7-11 times per year",438,3506,NA
4,"1 time per month",437,3943,NA
5,"2-3 times per month",675,4618,NA
6,"1 time per week",447,5065,NA
7,"2 times per week",491,5556,NA
8,"3-4 times per week",370,5926,NA
9,"5-6 times per week",165,6091,NA
10,"1 time per day",139,6230,NA
11,"2 or more times per day",86,6316,NA
88,"Blank",125,6441,NA
99,"Error",31,6472,NA
