"FFQ0041.Code.or.Value","FFQ0041.Value.Description","FFQ0041.Count","FFQ0041.Cumulative","FFQ0041.Skip.to.Item"
1,"never",1920,1920,NA
2,"1-6 times per year",900,2820,NA
3,"7-11 times per year",609,3429,NA
4,"1 time per month",523,3952,NA
5,"2-3 times per month",913,4865,NA
6,"1 time per week",515,5380,NA
7,"2 times per week",477,5857,NA
8,"3-4 times per week",293,6150,NA
9,"5-6 times per week",102,6252,NA
10,"1 time per day",81,6333,NA
11,"2 or more times per day",24,6357,NA
88,"Blank",90,6447,NA
99,"Error",25,6472,NA
