"FFQ0044.Code.or.Value","FFQ0044.Value.Description","FFQ0044.Count","FFQ0044.Cumulative","FFQ0044.Skip.to.Item"
1,"never",842,842,"FFQ0045"
2,"1-6 times per year",507,1349,""
3,"7-11 times per year",391,1740,""
4,"1 time per month",429,2169,""
5,"2-3 times per month",969,3138,""
6,"1 time per week",684,3822,""
7,"2 times per week",963,4785,""
8,"3-4 times per week",916,5701,""
9,"5-6 times per week",315,6016,""
10,"1 time per day",222,6238,""
11,"2 or more times per day",49,6287,""
88,"Blank",150,6437,""
99,"Error",35,6472,""
