"FFQ0045.Code.or.Value","FFQ0045.Value.Description","FFQ0045.Count","FFQ0045.Cumulative","FFQ0045.Skip.to.Item"
1,"never",1006,1006,NA
2,"1-6 times per year",556,1562,NA
3,"7-11 times per year",428,1990,NA
4,"1 time per month",394,2384,NA
5,"2-3 times per month",961,3345,NA
6,"1 time per week",653,3998,NA
7,"2 times per week",907,4905,NA
8,"3-4 times per week",833,5738,NA
9,"5-6 times per week",312,6050,NA
10,"1 time per day",194,6244,NA
11,"2 or more times per day",49,6293,NA
88,"Blank",163,6456,NA
99,"Error",16,6472,NA
