"FFQ0051.Code.or.Value","FFQ0051.Value.Description","FFQ0051.Count","FFQ0051.Cumulative","FFQ0051.Skip.to.Item"
1,"never",923,923,NA
2,"1-6 times per year",497,1420,NA
3,"7-11 times per year",388,1808,NA
4,"1 time per month",389,2197,NA
5,"2-3 times per month",842,3039,NA
6,"1 time per week",714,3753,NA
7,"2 times per week",907,4660,NA
8,"3-4 times per week",921,5581,NA
9,"5-6 times per week",411,5992,NA
10,"1 time per day",183,6175,NA
11,"2 or more times per day",115,6290,NA
88,"Blank",152,6442,NA
99,"Error",30,6472,NA
