"FFQ0058.Code.or.Value","FFQ0058.Value.Description","FFQ0058.Count","FFQ0058.Cumulative","FFQ0058.Skip.to.Item"
1,"never",682,682,"FFQ0059"
2,"1-6 times per year",626,1308,""
3,"7-11 times per year",559,1867,""
4,"1 time per month",535,2402,""
5,"2-3 times per month",1172,3574,""
6,"1 time per week",773,4347,""
7,"2 times per week",890,5237,""
8,"3-4 times per week",595,5832,""
9,"5-6 times per week",199,6031,""
10,"1 time per day",167,6198,""
11,"2 or more times per day",104,6302,""
88,"Blank",137,6439,""
99,"Error",33,6472,""
