"FFQ0060.Code.or.Value","FFQ0060.Value.Description","FFQ0060.Count","FFQ0060.Cumulative","FFQ0060.Skip.to.Item"
1,"never",1531,1531,NA
2,"1-6 times per year",1693,3224,NA
3,"7-11 times per year",896,4120,NA
4,"1 time per month",869,4989,NA
5,"2-3 times per month",785,5774,NA
6,"1 time per week",270,6044,NA
7,"2 times per week",188,6232,NA
8,"3-4 times per week",64,6296,NA
9,"5-6 times per week",29,6325,NA
10,"1 time per day",20,6345,NA
11,"2 or more times per day",12,6357,NA
88,"Blank",95,6452,NA
99,"Error",20,6472,NA
