"FFQ0066.Code.or.Value","FFQ0066.Value.Description","FFQ0066.Count","FFQ0066.Cumulative","FFQ0066.Skip.to.Item"
1,"never",858,858,"FFQ0067"
2,"1-6 times per year",718,1576,""
3,"7-11 times per year",525,2101,""
4,"1 time per month",515,2616,""
5,"2-3 times per month",903,3519,""
6,"1 time per week",724,4243,""
7,"2 times per week",823,5066,""
8,"3-4 times per week",635,5701,""
9,"5-6 times per week",226,5927,""
10,"1 time per day",270,6197,""
11,"2 or more times per day",131,6328,""
88,"Blank",119,6447,""
99,"Error",25,6472,""
