"FFQ0067.Code.or.Value","FFQ0067.Value.Description","FFQ0067.Count","FFQ0067.Cumulative","FFQ0067.Skip.to.Item"
1,"never",1347,1347,NA
2,"1-6 times per year",933,2280,NA
3,"7-11 times per year",542,2822,NA
4,"1 time per month",528,3350,NA
5,"2-3 times per month",896,4246,NA
6,"1 time per week",602,4848,NA
7,"2 times per week",663,5511,NA
8,"3-4 times per week",473,5984,NA
9,"5-6 times per week",150,6134,NA
10,"1 time per day",171,6305,NA
11,"2 or more times per day",50,6355,NA
88,"Blank",89,6444,NA
99,"Error",28,6472,NA
