"FFQ0068.Code.or.Value","FFQ0068.Value.Description","FFQ0068.Count","FFQ0068.Cumulative","FFQ0068.Skip.to.Item"
1,"never",1253,1253,NA
2,"1-6 times per year",945,2198,NA
3,"7-11 times per year",506,2704,NA
4,"1 time per month",569,3273,NA
5,"2-3 times per month",950,4223,NA
6,"1 time per week",588,4811,NA
7,"2 times per week",662,5473,NA
8,"3-4 times per week",497,5970,NA
9,"5-6 times per week",186,6156,NA
10,"1 time per day",160,6316,NA
11,"2 or more times per day",49,6365,NA
88,"Blank",78,6443,NA
99,"Error",29,6472,NA
