"FFQ0069.Code.or.Value","FFQ0069.Value.Description","FFQ0069.Count","FFQ0069.Cumulative","FFQ0069.Skip.to.Item"
1,"never",2060,2060,NA
2,"1-6 times per year",1389,3449,NA
3,"7-11 times per year",733,4182,NA
4,"1 time per month",696,4878,NA
5,"2-3 times per month",774,5652,NA
6,"1 time per week",323,5975,NA
7,"2 times per week",211,6186,NA
8,"3-4 times per week",85,6271,NA
9,"5-6 times per week",31,6302,NA
10,"1 time per day",38,6340,NA
11,"2 or more times per day",21,6361,NA
88,"Blank",79,6440,NA
99,"Error",32,6472,NA
