"FFQ0073.Code.or.Value","FFQ0073.Value.Description","FFQ0073.Count","FFQ0073.Cumulative","FFQ0073.Skip.to.Item"
1,"never",1429,1429,NA
2,"1-6 times per year",1075,2504,NA
3,"7-11 times per year",805,3309,NA
4,"1 time per month",864,4173,NA
5,"2-3 times per month",1163,5336,NA
6,"1 time per week",518,5854,NA
7,"2 times per week",288,6142,NA
8,"3-4 times per week",124,6266,NA
9,"5-6 times per week",39,6305,NA
10,"1 time per day",32,6337,NA
11,"2 or more times per day",17,6354,NA
88,"Blank",89,6443,NA
99,"Error",29,6472,NA
