"FFQ0079.Code.or.Value","FFQ0079.Value.Description","FFQ0079.Count","FFQ0079.Cumulative","FFQ0079.Skip.to.Item"
1,"never",1432,1432,NA
2,"1-6 times per year",1704,3136,NA
3,"7-11 times per year",938,4074,NA
4,"1 time per month",920,4994,NA
5,"2-3 times per month",855,5849,NA
6,"1 time per week",276,6125,NA
7,"2 times per week",114,6239,NA
8,"3-4 times per week",50,6289,NA
9,"5-6 times per week",16,6305,NA
10,"1 time per day",19,6324,NA
11,"2 or more times per day",14,6338,NA
88,"Blank",108,6446,NA
99,"Error",26,6472,NA
