"FFQ0080.Code.or.Value","FFQ0080.Value.Description","FFQ0080.Count","FFQ0080.Cumulative","FFQ0080.Skip.to.Item"
1,"never",1028,1028,"FFQ0081"
2,"1-6 times per year",1306,2334,""
3,"7-11 times per year",795,3129,""
4,"1 time per month",933,4062,""
5,"2-3 times per month",1270,5332,""
6,"1 time per week",511,5843,""
7,"2 times per week",279,6122,""
8,"3-4 times per week",117,6239,""
9,"5-6 times per week",36,6275,""
10,"1 time per day",18,6293,""
11,"2 or more times per day",17,6310,""
88,"Blank",134,6444,""
99,"Error",28,6472,""
