"FFQ0083.Code.or.Value","FFQ0083.Value.Description","FFQ0083.Count","FFQ0083.Cumulative","FFQ0083.Skip.to.Item"
1,"never",814,814,NA
2,"1-6 times per year",941,1755,NA
3,"7-11 times per year",868,2623,NA
4,"1 time per month",727,3350,NA
5,"2-3 times per month",1221,4571,NA
6,"1 time per week",624,5195,NA
7,"2 times per week",573,5768,NA
8,"3-4 times per week",393,6161,NA
9,"5-6 times per week",111,6272,NA
10,"1 time per day",53,6325,NA
11,"2 or more times per day",26,6351,NA
88,"Blank",94,6445,NA
99,"Error",27,6472,NA
