"FFQ0085.Code.or.Value","FFQ0085.Value.Description","FFQ0085.Count","FFQ0085.Cumulative","FFQ0085.Skip.to.Item"
1,"never",1762,1762,NA
2,"1-6 times per year",2336,4098,NA
3,"7-11 times per year",810,4908,NA
4,"1 time per month",634,5542,NA
5,"2-3 times per month",516,6058,NA
6,"1 time per week",156,6214,NA
7,"2 times per week",71,6285,NA
8,"3-4 times per week",35,6320,NA
9,"5-6 times per week",26,6346,NA
10,"1 time per day",17,6363,NA
11,"2 or more times per day",11,6374,NA
88,"Blank",77,6451,NA
99,"Error",21,6472,NA
