"FFQ0092.Code.or.Value","FFQ0092.Value.Description","FFQ0092.Count","FFQ0092.Cumulative","FFQ0092.Skip.to.Item"
1,"never",5530,5530,"FFQ0093"
2,"1-6 times per year",354,5884,""
3,"7-11 times per year",130,6014,""
4,"1 time per month",127,6141,""
5,"2-3 times per month",105,6246,""
6,"1 time per week",47,6293,""
7,"2 times per week",22,6315,""
8,"3-4 times per week",5,6320,""
9,"5-6 times per week",10,6330,""
10,"1 time per day",4,6334,""
11,"2 or more times per day",2,6336,""
88,"Blank",125,6461,""
99,"Error",11,6472,""
