"FFQ0096.Code.or.Value","FFQ0096.Value.Description","FFQ0096.Count","FFQ0096.Cumulative","FFQ0096.Skip.to.Item"
1,"never",5352,5352,NA
2,"1-6 times per year",425,5777,NA
3,"7-11 times per year",123,5900,NA
4,"1 time per month",104,6004,NA
5,"2-3 times per month",87,6091,NA
6,"1 time per week",63,6154,NA
7,"2 times per week",59,6213,NA
8,"3-4 times per week",50,6263,NA
9,"5-6 times per week",25,6288,NA
10,"1 time per day",16,6304,NA
11,"2 or more times per day",11,6315,NA
88,"Blank",143,6458,NA
99,"Error",14,6472,NA
