"FFQ0106.Code.or.Value","FFQ0106.Value.Description","FFQ0106.Count","FFQ0106.Cumulative","FFQ0106.Skip.to.Item"
1,"never",1184,1184,NA
2,"1-6 times per year",1156,2340,NA
3,"7-11 times per year",841,3181,NA
4,"1 time per month",838,4019,NA
5,"2-3 times per month",954,4973,NA
6,"1 time per week",437,5410,NA
7,"2 times per week",361,5771,NA
8,"3-4 times per week",263,6034,NA
9,"5-6 times per week",139,6173,NA
10,"1 time per day",113,6286,NA
11,"2 or more times per day",34,6320,NA
88,"Blank",124,6444,NA
99,"Error",28,6472,NA
