"FFQ0110.Code.or.Value","FFQ0110.Value.Description","FFQ0110.Count","FFQ0110.Cumulative","FFQ0110.Skip.to.Item"
1,"never",421,421,"FFQ0111"
2,"1-6 times per year",327,748,""
3,"7-11 times per year",383,1131,""
4,"1 time per month",380,1511,""
5,"2-3 times per month",896,2407,""
6,"1 time per week",666,3073,""
7,"2 times per week",986,4059,""
8,"3-4 times per week",1189,5248,""
9,"5-6 times per week",546,5794,""
10,"1 time per day",356,6150,""
11,"2 or more times per day",161,6311,""
88,"Blank",134,6445,""
99,"Error",27,6472,""
