"FFQ0113.Code.or.Value","FFQ0113.Value.Description","FFQ0113.Count","FFQ0113.Cumulative","FFQ0113.Skip.to.Item"
1,"never",1976,1976,NA
2,"1-6 times per year",1612,3588,NA
3,"7-11 times per year",764,4352,NA
4,"1 time per month",614,4966,NA
5,"2-3 times per month",709,5675,NA
6,"1 time per week",236,5911,NA
7,"2 times per week",230,6141,NA
8,"3-4 times per week",103,6244,NA
9,"5-6 times per week",41,6285,NA
10,"1 time per day",28,6313,NA
11,"2 or more times per day",19,6332,NA
88,"Blank",115,6447,NA
99,"Error",25,6472,NA
