"FFQ0116.Code.or.Value","FFQ0116.Value.Description","FFQ0116.Count","FFQ0116.Cumulative","FFQ0116.Skip.to.Item"
1,"never",747,747,NA
2,"1-6 times per year",1080,1827,NA
3,"7-11 times per year",722,2549,NA
4,"1 time per month",781,3330,NA
5,"2-3 times per month",1285,4615,NA
6,"1 time per week",690,5305,NA
7,"2 times per week",509,5814,NA
8,"3-4 times per week",309,6123,NA
9,"5-6 times per week",95,6218,NA
10,"1 time per day",100,6318,NA
11,"2 or more times per day",42,6360,NA
88,"Blank",86,6446,NA
99,"Error",26,6472,NA
