"FFQ0118.Code.or.Value","FFQ0118.Value.Description","FFQ0118.Count","FFQ0118.Cumulative","FFQ0118.Skip.to.Item"
1,"never",2761,2761,NA
2,"1-6 times per year",1870,4631,NA
3,"7-11 times per year",592,5223,NA
4,"1 time per month",464,5687,NA
5,"2-3 times per month",341,6028,NA
6,"1 time per week",142,6170,NA
7,"2 times per week",95,6265,NA
8,"3-4 times per week",43,6308,NA
9,"5-6 times per week",18,6326,NA
10,"1 time per day",17,6343,NA
11,"2 or more times per day",12,6355,NA
88,"Blank",94,6449,NA
99,"Error",23,6472,NA
