"FFQ0120.Code.or.Value","FFQ0120.Value.Description","FFQ0120.Count","FFQ0120.Cumulative","FFQ0120.Skip.to.Item"
1,"never",596,596,NA
2,"1-6 times per year",812,1408,NA
3,"7-11 times per year",544,1952,NA
4,"1 time per month",679,2631,NA
5,"2-3 times per month",1181,3812,NA
6,"1 time per week",783,4595,NA
7,"2 times per week",688,5283,NA
8,"3-4 times per week",577,5860,NA
9,"5-6 times per week",192,6052,NA
10,"1 time per day",166,6218,NA
11,"2 or more times per day",121,6339,NA
88,"Blank",110,6449,NA
99,"Error",23,6472,NA
