"FFQ0128.Code.or.Value","FFQ0128.Value.Description","FFQ0128.Count","FFQ0128.Cumulative","FFQ0128.Skip.to.Item"
1,"never",4672,4672,"FFQ0129"
2,"Less than 1 time per month",377,5049,""
3,"1-3 times per month",282,5331,""
4,"1 time per week",106,5437,""
5,"2-4 times per week",188,5625,""
6,"5-6 times per week",94,5719,""
7,"1 time per day",289,6008,""
8,"2-3 times per day",237,6245,""
9,"4-5 times per day",37,6282,""
10,"6 or more times per day",27,6309,""
88,"Blank",145,6454,""
99,"Error",18,6472,""
