"FFQ0132.Code.or.Value","FFQ0132.Value.Description","FFQ0132.Count","FFQ0132.Cumulative","FFQ0132.Skip.to.Item"
1,"never",1720,1720,"FFQ0133"
2,"1-6 times per year",597,2317,""
3,"7-11 times per year",462,2779,""
4,"1 time per month",363,3142,""
5,"2-3 times per month",696,3838,""
6,"1 time per week",537,4375,""
7,"2 times per week",573,4948,""
8,"3-4 times per week",632,5580,""
9,"5-6 times per week",275,5855,""
10,"1 time per day",325,6180,""
11,"2 or more times per day",136,6316,""
88,"Blank",130,6446,""
99,"Error",26,6472,""
