"FFQ0137.Code.or.Value","FFQ0137.Value.Description","FFQ0137.Count","FFQ0137.Cumulative","FFQ0137.Skip.to.Item"
1,"never",2630,2630,"FFQ0138"
2,"1-6 times per year",1194,3824,""
3,"7-11 times per year",624,4448,""
4,"1 time per month",489,4937,""
5,"2-3 times per month",632,5569,""
6,"1 time per week",271,5840,""
7,"2 times per week",220,6060,""
8,"3-4 times per week",142,6202,""
9,"5-6 times per week",29,6231,""
10,"1 time per day",44,6275,""
11,"2 or more times per day",15,6290,""
88,"Blank",159,6449,""
99,"Error",23,6472,""
