"FFQ0018.Code.or.Value","FFQ0018.Value.Description","FFQ0018.Count","FFQ0018.Cumulative","FFQ0018.Skip.to.Item"
1,"never",514,514,NA
2,"1-6 times per year",538,1052,NA
3,"7-11 times per year",385,1437,NA
4,"1 time per month",410,1847,NA
5,"2-3 times per month",997,2844,NA
6,"1 time per week",530,3374,NA
7,"2 times per week",855,4229,NA
8,"3-4 times per week",841,5070,NA
9,"5-6 times per week",329,5399,NA
10,"1 time per day",447,5846,NA
11,"2 or more times per day",98,5944,NA
88,"Blank",46,5990,NA
99,"Error",23,6013,NA
