"FFQ0021B.Code.or.Value","FFQ0021B.Value.Description","FFQ0021B.Count","FFQ0021B.Cumulative","FFQ0021B.Skip.to.Item"
1,"never",722,722,NA
2,"1-6 times per year",1374,2096,NA
3,"7-11 times per year",588,2684,NA
4,"1 time per month",536,3220,NA
5,"2-3 times per month",777,3997,NA
6,"1 time per week",353,4350,NA
7,"2 times per week",303,4653,NA
8,"3-4 times per week",205,4858,NA
9,"5-6 times per week",53,4911,NA
10,"1 time per day",51,4962,NA
11,"2 or more times per day",30,4992,NA
88,"Blank",1004,5996,NA
99,"Error",17,6013,NA
