"FFQ0042B.Code.or.Value","FFQ0042B.Value.Description","FFQ0042B.Count","FFQ0042B.Cumulative","FFQ0042B.Skip.to.Item"
1,"never",245,245,NA
2,"1-6 times per year",521,766,NA
3,"7-11 times per year",457,1223,NA
4,"1 time per month",314,1537,NA
5,"2-3 times per month",845,2382,NA
6,"1 time per week",517,2899,NA
7,"2 times per week",676,3575,NA
8,"3-4 times per week",547,4122,NA
9,"5-6 times per week",239,4361,NA
10,"1 time per day",162,4523,NA
11,"2 or more times per day",63,4586,NA
88,"Blank",1409,5995,NA
99,"Error",18,6013,NA
