"FFQ0104.Code.or.Value","FFQ0104.Value.Description","FFQ0104.Count","FFQ0104.Cumulative","FFQ0104.Skip.to.Item"
1,"never",788,788,NA
2,"1-6 times per year",1241,2029,NA
3,"7-11 times per year",809,2838,NA
4,"1 time per month",844,3682,NA
5,"2-3 times per month",1105,4787,NA
6,"1 time per week",522,5309,NA
7,"2 times per week",339,5648,NA
8,"3-4 times per week",172,5820,NA
9,"5-6 times per week",56,5876,NA
10,"1 time per day",41,5917,NA
11,"2 or more times per day",17,5934,NA
88,"Blank",68,6002,NA
99,"Error",11,6013,NA
