"FFQ0136.Code.or.Value","FFQ0136.Value.Description","FFQ0136.Count","FFQ0136.Cumulative","FFQ0136.Skip.to.Item"
1,"never",1224,1224,"FFQ0137"
2,"1-6 times per year",610,1834,""
3,"7-11 times per year",512,2346,""
4,"1 time per month",451,2797,""
5,"2-3 times per month",973,3770,""
6,"1 time per week",539,4309,""
7,"2 times per week",638,4947,""
8,"3-4 times per week",484,5431,""
9,"5-6 times per week",164,5595,""
10,"1 time per day",111,5706,""
11,"2 or more times per day",49,5755,""
88,"Blank",250,6005,""
99,"Error",8,6013,""
