"FFQ0015.Code.or.Value","FFQ0015.Value.Description","FFQ0015.Count","FFQ0015.Cumulative","FFQ0015.Skip.to.Item"
1,"never",2420,2420,NA
2,"1-6 times per year",1479,3899,NA
3,"7-11 times per year",477,4376,NA
4,"1 time per month",423,4799,NA
5,"2-3 times per month",679,5478,NA
6,"1 time per week",268,5746,NA
7,"2 times per week",289,6035,NA
8,"3-4 times per week",181,6216,NA
9,"5-6 times per week",51,6267,NA
10,"1 time per day",43,6310,NA
11,"2 or more times per day",30,6340,NA
88,"Blank",98,6438,NA
99,"Error",34,6472,NA
