"FFQ0026B.Code.or.Value","FFQ0026B.Value.Description","FFQ0026B.Count","FFQ0026B.Cumulative","FFQ0026B.Skip.to.Item"
1,"never",887,887,NA
2,"1-6 times per year",783,1670,NA
3,"7-11 times per year",175,1845,NA
4,"1 time per month",247,2092,NA
5,"2-3 times per month",193,2285,NA
6,"1 time per week",113,2398,NA
7,"2 times per week",67,2465,NA
8,"3-4 times per week",51,2516,NA
9,"5-6 times per week",17,2533,NA
10,"1 time per day",32,2565,NA
11,"2 or more times per day",20,2585,NA
88,"Blank",3871,6456,NA
99,"Error",16,6472,NA
