"FFQ0036.Code.or.Value","FFQ0036.Value.Description","FFQ0036.Count","FFQ0036.Cumulative","FFQ0036.Skip.to.Item"
1,"never",1329,1329,NA
2,"1-6 times per year",908,2237,NA
3,"7-11 times per year",593,2830,NA
4,"1 time per month",574,3404,NA
5,"2-3 times per month",1224,4628,NA
6,"1 time per week",737,5365,NA
7,"2 times per week",574,5939,NA
8,"3-4 times per week",276,6215,NA
9,"5-6 times per week",69,6284,NA
10,"1 time per day",37,6321,NA
11,"2 or more times per day",21,6342,NA
88,"Blank",97,6439,NA
99,"Error",33,6472,NA
