"FFQ0043B.Code.or.Value","FFQ0043B.Value.Description","FFQ0043B.Count","FFQ0043B.Cumulative","FFQ0043B.Skip.to.Item"
1,"never",834,834,NA
2,"1-6 times per year",829,1663,NA
3,"7-11 times per year",294,1957,NA
4,"1 time per month",385,2342,NA
5,"2-3 times per month",349,2691,NA
6,"1 time per week",197,2888,NA
7,"2 times per week",105,2993,NA
8,"3-4 times per week",44,3037,NA
9,"5-6 times per week",20,3057,NA
10,"1 time per day",14,3071,NA
11,"2 or more times per day",6,3077,NA
88,"Blank",3366,6443,NA
99,"Error",29,6472,NA
