"FFQ0059.Code.or.Value","FFQ0059.Value.Description","FFQ0059.Count","FFQ0059.Cumulative","FFQ0059.Skip.to.Item"
1,"never",519,519,"FFQ0060"
2,"1-6 times per year",1099,1618,""
3,"7-11 times per year",807,2425,""
4,"1 time per month",811,3236,""
5,"2-3 times per month",1233,4469,""
6,"1 time per week",676,5145,""
7,"2 times per week",660,5805,""
8,"3-4 times per week",328,6133,""
9,"5-6 times per week",98,6231,""
10,"1 time per day",69,6300,""
11,"2 or more times per day",39,6339,""
88,"Blank",105,6444,""
99,"Error",28,6472,""
