"FFQ0071.Code.or.Value","FFQ0071.Value.Description","FFQ0071.Count","FFQ0071.Cumulative","FFQ0071.Skip.to.Item"
1,"never",1614,1614,"FFQ0072"
2,"1-6 times per year",966,2580,""
3,"7-11 times per year",614,3194,""
4,"1 time per month",618,3812,""
5,"2-3 times per month",959,4771,""
6,"1 time per week",537,5308,""
7,"2 times per week",556,5864,""
8,"3-4 times per week",307,6171,""
9,"5-6 times per week",81,6252,""
10,"1 time per day",66,6318,""
11,"2 or more times per day",22,6340,""
88,"Blank",108,6448,""
99,"Error",24,6472,""
