"FFQ0075.Code.or.Value","FFQ0075.Value.Description","FFQ0075.Count","FFQ0075.Cumulative","FFQ0075.Skip.to.Item"
1,"never",468,468,"FFQ0076"
2,"1-6 times per year",591,1059,""
3,"7-11 times per year",602,1661,""
4,"1 time per month",793,2454,""
5,"2-3 times per month",1688,4142,""
6,"1 time per week",1026,5168,""
7,"2 times per week",645,5813,""
8,"3-4 times per week",328,6141,""
9,"5-6 times per week",88,6229,""
10,"1 time per day",49,6278,""
11,"2 or more times per day",31,6309,""
88,"Blank",135,6444,""
99,"Error",28,6472,""
