"FFQ0097B.Code.or.Value","FFQ0097B.Value.Description","FFQ0097B.Count","FFQ0097B.Cumulative","FFQ0097B.Skip.to.Item"
1,"never",332,332,NA
2,"1-6 times per year",1311,1643,NA
3,"7-11 times per year",789,2432,NA
4,"1 time per month",864,3296,NA
5,"2-3 times per month",1071,4367,NA
6,"1 time per week",531,4898,NA
7,"2 times per week",419,5317,NA
8,"3-4 times per week",247,5564,NA
9,"5-6 times per week",94,5658,NA
10,"1 time per day",62,5720,NA
11,"2 or more times per day",37,5757,NA
88,"Blank",690,6447,NA
99,"Error",25,6472,NA
