"FFQ0103.Code.or.Value","FFQ0103.Value.Description","FFQ0103.Count","FFQ0103.Cumulative","FFQ0103.Skip.to.Item"
1,"never",1485,1485,"FFQ0104"
2,"1-6 times per year",1020,2505,""
3,"7-11 times per year",645,3150,""
4,"1 time per month",748,3898,""
5,"2-3 times per month",1014,4912,""
6,"1 time per week",588,5500,""
7,"2 times per week",432,5932,""
8,"3-4 times per week",228,6160,""
9,"5-6 times per week",80,6240,""
10,"1 time per day",56,6296,""
11,"2 or more times per day",21,6317,""
88,"Blank",129,6446,""
99,"Error",26,6472,""
