"FFQ0115.Code.or.Value","FFQ0115.Value.Description","FFQ0115.Count","FFQ0115.Cumulative","FFQ0115.Skip.to.Item"
1,"never",460,460,NA
2,"1-6 times per year",645,1105,NA
3,"7-11 times per year",628,1733,NA
4,"1 time per month",697,2430,NA
5,"2-3 times per month",1291,3721,NA
6,"1 time per week",773,4494,NA
7,"2 times per week",795,5289,NA
8,"3-4 times per week",589,5878,NA
9,"5-6 times per week",181,6059,NA
10,"1 time per day",212,6271,NA
11,"2 or more times per day",81,6352,NA
88,"Blank",92,6444,NA
99,"Error",28,6472,NA
