"FFQ0121.Code.or.Value","FFQ0121.Value.Description","FFQ0121.Count","FFQ0121.Cumulative","FFQ0121.Skip.to.Item"
1,"never",663,663,NA
2,"1-6 times per year",972,1635,NA
3,"7-11 times per year",511,2146,NA
4,"1 time per month",623,2769,NA
5,"2-3 times per month",993,3762,NA
6,"1 time per week",801,4563,NA
7,"2 times per week",656,5219,NA
8,"3-4 times per week",554,5773,NA
9,"5-6 times per week",224,5997,NA
10,"1 time per day",195,6192,NA
11,"2 or more times per day",156,6348,NA
88,"Blank",101,6449,NA
99,"Error",23,6472,NA
